Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
57643-55057,C,Jusuf,Jusuf Nurkic,Nurkic,26.682609226392664,23,5800,MEM@POR,POR,MEM,,,,,,C
57643-117286,C,Moses,Moses Brown,Brown,23.223333740234374,30,5700,WAS@OKC,OKC,WAS,,,,,,C
57643-23096,SG,Evan,Evan Fournier,Fournier,29.413334147135416,30,5700,BOS@BKN,BOS,BKN,O,Covid-19,,,,SG
57643-111273,SF,Luguentz,Luguentz Dort,Dort,23.257777235243054,45,5700,WAS@OKC,OKC,WAS,GTD,Hip,,,,SF
57643-14512,PF,Marcus,Marcus Morris,Morris,21.741666158040363,48,5700,LAC@HOU,LAC,HOU,,,,,,PF
57643-70827,C,Ivica,Ivica Zubac,Zubac,22.470491002817624,61,5600,LAC@HOU,LAC,HOU,,,,,,C
57643-110312,SG,Tyler,Tyler Herro,Herro,27.365956407912233,47,5600,MIA@ATL,MIA,ATL,GTD,Foot,,,,SG
57643-9673,PG,Goran,Goran Dragic,Dragic,24.18205065604968,39,5600,MIA@ATL,MIA,ATL,,,,,,PG
57643-14516,C,Enes,Enes Kanter,Kanter,30.148275441136853,58,5500,MEM@POR,POR,MEM,,,,,,C
57643-14523,PG,Reggie,Reggie Jackson,Jackson,19.49122807017544,57,5500,LAC@HOU,LAC,HOU,,,,,,PG
57643-84708,C,Robert,Robert Williams,Williams,26.04042605136303,47,5500,BOS@BKN,BOS,BKN,O,Knee,,,,C
57643-85305,SF,Kenrich,Kenrich Williams,Williams,17.835594047934322,59,5500,WAS@OKC,OKC,WAS,,,,,,SF
57643-9637,SF,Danilo,Danilo Gallinari,Gallinari,21.617948091947117,39,5500,MIA@ATL,ATL,MIA,GTD,Foot,,,,SF
57643-20491,PF,Robert,Robert Covington,Covington,26.503570556640625,56,5400,MEM@POR,POR,MEM,,,,,,PF
57643-84704,SG,Kevin,Kevin Huerter,Huerter,24.603389416710804,59,5400,MIA@ATL,ATL,MIA,,,,,,SG
57643-101329,PG,Kendrick,Kendrick Nunn,Nunn,23.933333333333334,45,5400,MIA@ATL,MIA,ATL,,,,,,PG
57643-110325,PF,Daniel,Daniel Gafford,Gafford,16.36999969482422,40,5300,WAS@OKC,WAS,OKC,,,,,,PF
57643-110350,PF,Jalen,Jalen McDaniels,McDaniels,12.631250381469727,32,5300,CLE@CHA,CHA,CLE,,,,,,PF
57643-19781,SF,Kent,Kent Bazemore,Bazemore,15.894736842105264,57,5300,DEN@GS,GS,DEN,,,,,,SF
57643-80816,SG,Malik,Malik Monk,Monk,19.546875,32,5300,CLE@CHA,CHA,CLE,O,Ankle,,,,SG
57643-16363,SF,Joe,Joe Harris,Harris,23.194915254237287,59,5300,BOS@BKN,BKN,BOS,,,,,,SF
57643-22541,C,Kelly,Kelly Olynyk,Olynyk,26.122413372171337,58,5200,LAC@HOU,HOU,LAC,,,,,,C
57643-110315,SG,Terance,Terance Mann,Mann,14.981034903690732,58,5200,LAC@HOU,LAC,HOU,,,,,,SG
57643-60233,SG,Dillon,Dillon Brooks,Brooks,26.513206625884433,53,5200,MEM@POR,MEM,POR,,,,,,SG
57643-80825,PF,Isaiah,Isaiah Hartenstein,Hartenstein,14.576190766834078,42,5200,CLE@CHA,CLE,CHA,,,,,,PF
57643-9662,SG,Lou,Lou Williams,Williams,20.6833337854456,54,5200,MIA@ATL,ATL,MIA,,,,,,SG
57643-40396,PG,Monte,Monte Morris,Morris,19.96590909090909,44,5200,DEN@GS,DEN,GS,O,Hamstring,,,,PG
57643-9809,SF,Nicolas,Nicolas Batum,Batum,21.785965768914473,57,5100,LAC@HOU,LAC,HOU,,,,,,SF
57643-41594,PF,Aaron,Aaron Gordon,Gordon,28.19736842105263,38,5100,DEN@GS,DEN,GS,,,,,,PF
57643-84703,SG,De'Anthony,De'Anthony Melton,Melton,22.283783783783782,37,5000,MEM@POR,MEM,POR,,,,,,SG
57643-110339,SG,Cam,Cam Reddish,Reddish,21.588461068960335,26,5000,MIA@ATL,ATL,MIA,O,Achilles,,,,SG
