Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
57818-110356,SG,Nickeil,Nickeil Alexander-Walker,Alexander-Walker,19.9682929806593,41,6800,LAC@NO,NO,LAC,GTD,Ankle,,,,SG
57818-23831,PF,Jerami,Jerami Grant,Grant,35.61922983022836,52,6800,ATL@DET,DET,ATL,,,,,,PF
57818-23447,C,Richaun,Richaun Holmes,Holmes,32.82156910615809,51,6700,DAL@SAC,SAC,DAL,,,,,,C
57818-145327,PG,Cole,Cole Anthony,Anthony,25.094285365513393,35,6700,LAL@ORL,ORL,LAL,,,,,,PG
57818-23665,SF,Buddy,Buddy Hield,Hield,28.78644109176377,59,6600,DAL@SAC,SAC,DAL,,,,,,SF
57818-84683,PF,Jaren,Jaren Jackson,Jackson,35.599998474121094,2,6600,MEM@DEN,MEM,DEN,,,,,,PF
57818-58378,C,Jakob,Jakob Poeltl,Poeltl,26.899999158135778,58,6500,SA@WAS,SA,WAS,,,,,,C
57818-68090,SF,OG,OG Anunoby,Anunoby,30.130768604767628,39,6500,CLE@TOR,TOR,CLE,,,,,,SF
57818-84676,C,Wendell,Wendell Carter,Carter,27.828260338824727,46,6400,LAL@ORL,ORL,LAL,,,,,,C
57818-59318,SF,Joe,Joe Ingles,Ingles,24.298182262073862,55,6400,UTA@MIN,UTA,MIN,,,,,,SF
57818-110326,PG,Coby,Coby White,White,26.57017543859649,57,6300,CHI@MIA,CHI,MIA,,,,,,PG
57818-58312,SG,D'Angelo,D'Angelo Russell,Russell,31.287097561743952,31,6300,UTA@MIN,MIN,UTA,,,,,,SG
57818-17333,SG,Will,Will Barton,Barton,24.583927699497767,56,6200,MEM@DEN,DEN,MEM,O,Hamstring,,,,SG
57818-23716,SF,Kyle,Kyle Anderson,Anderson,29.70175438596491,57,6100,MEM@DEN,MEM,DEN,,,,,,SF
57818-14512,PF,Marcus,Marcus Morris,Morris,21.741666158040363,48,6100,LAC@NO,LAC,NO,,,,,,PF
57818-80806,PG,Lonzo,Lonzo Ball,Ball,31.293478260869566,46,6100,LAC@NO,NO,LAC,,,,,,PG
